comments,description,duration,event,film_date,languages,main_speaker,name,num_speaker,published_date,speaker_occupation,title,url,views,talk_id
4553,Sir Ken Robinson makes an entertaining and profoundly moving case for creating an education system that nurtures (rather than undermines) creativity.,1164,TED2006,25-02-2006,60,Ken Robinson,Ken Robinson: Do schools kill creativity?,1,27-06-2006,Author/educator,Do schools kill creativity?,"https://www.ted.com/talks/ken_robinson_says_schools_kill_creativity
",47227110,0
265,"With the same humor and humanity he exuded in ""An Inconvenient Truth,"" Al Gore spells out 15 ways that individuals can address climate change immediately, from buying a hybrid to inventing a new, hotter brand name for global warming.",977,TED2006,25-02-2006,43,Al Gore,Al Gore: Averting the climate crisis,1,27-06-2006,Climate advocate,Averting the climate crisis,"https://www.ted.com/talks/al_gore_on_averting_climate_crisis
",3200520,1
124,"New York Times columnist David Pogue takes aim at technology’s worst interface-design offenders, and provides encouraging examples of products that get it right. To funny things up, he bursts into song.",1286,TED2006,24-02-2006,26,David Pogue,David Pogue: Simplicity sells,1,27-06-2006,Technology columnist,Simplicity sells,"https://www.ted.com/talks/david_pogue_says_simplicity_sells
",1636292,2
200,"In an emotionally charged talk, MacArthur-winning activist Majora Carter details her fight for environmental justice in the South Bronx -- and shows how minority neighborhoods suffer most from flawed urban policy.",1116,TED2006,26-02-2006,35,Majora Carter,Majora Carter: Greening the ghetto,1,27-06-2006,Activist for environmental justice,Greening the ghetto,"https://www.ted.com/talks/majora_carter_s_tale_of_urban_renewal
",1697550,3
593,"You've never seen data presented like this. With the drama and urgency of a sportscaster, statistics guru Hans Rosling debunks myths about the so-called ""developing world.""",1190,TED2006,22-02-2006,48,Hans Rosling,Hans Rosling: The best stats you've ever seen,1,28-06-2006,Global health expert; data visionary,The best stats you've ever seen,"https://www.ted.com/talks/hans_rosling_shows_the_best_stats_you_ve_ever_seen
",12005869,4
672,"Tony Robbins discusses the ""invisible forces"" that motivate everyone's actions -- and high-fives Al Gore in the front row.",1305,TED2006,02-02-2006,36,Tony Robbins,Tony Robbins: Why we do what we do,1,28-06-2006,Life coach; expert in leadership psychology,Why we do what we do,"https://www.ted.com/talks/tony_robbins_asks_why_we_do_what_we_do
",20685401,5
919,"When two young Mormon missionaries knock on Julia Sweeney's door one day, it touches off a quest to completely rethink her own beliefs, in this excerpt from Sweeney's solo show ""Letting Go of God.""  ",992,TED2006,24-02-2006,31,Julia Sweeney,Julia Sweeney: Letting go of God,1,10-07-2006,"Actor, comedian, playwright",Letting go of God,"https://www.ted.com/talks/julia_sweeney_on_letting_go_of_god
",3769987,6
46,"Architect Joshua Prince-Ramus takes the audience on dazzling, dizzying virtual tours of three recent projects: the Central Library in Seattle, the Museum Plaza in Louisville and the Charles Wyly Theater in Dallas.",1198,TED2006,23-02-2006,19,Joshua Prince-Ramus,Joshua Prince-Ramus: Behind the design of Seattle's library,1,10-07-2006,Architect,Behind the design of Seattle's library,"https://www.ted.com/talks/joshua_prince_ramus_on_seattle_s_library
",967741,7
852,"Philosopher Dan Dennett calls for religion -- all religion -- to be taught in schools, so we can understand its nature as a natural phenomenon. Then he takes on The Purpose-Driven Life, disputing its claim that, to be moral, one must deny evolution.",1485,TED2006,02-02-2006,32,Dan Dennett,Dan Dennett: Let's teach religion -- all religion -- in schools,1,18-07-2006,"Philosopher, cognitive scientist",Let's teach religion -- all religion -- in schools,"https://www.ted.com/talks/dan_dennett_s_response_to_rick_warren
",2567958,8
900,"Pastor Rick Warren, author of ""The Purpose-Driven Life,"" reflects on his own crisis of purpose in the wake of his book's wild success. He explains his belief that God's intention is for each of us to use our talents and influence to do good.",1262,TED2006,25-02-2006,31,Rick Warren,Rick Warren: A life of purpose,1,18-07-2006,"Pastor, author",A life of purpose,"https://www.ted.com/talks/rick_warren_on_a_life_of_purpose
",3095993,9
79,"Accepting his 2006 TED Prize, Cameron Sinclair demonstrates how passionate designers and architects can respond to world housing crises. He unveils his TED Prize wish for a network to improve global living standards through collaborative design.",1414,TED2006,26-02-2006,27,Cameron Sinclair,Cameron Sinclair: My wish: A call for open-source architecture,1,25-07-2006,"Co-founder, Architecture for Humanity",My wish: A call for open-source architecture,"https://www.ted.com/talks/cameron_sinclair_on_open_source_architecture
",1211416,10
55,Jehane Noujaim unveils her 2006 TED Prize wish: to bring the world together for one day a year through the power of film.,1538,TED2006,26-02-2006,20,Jehane Noujaim,Jehane Noujaim: My wish: A global day of film,1,25-07-2006,Filmmaker,My wish: A global day of film,"https://www.ted.com/talks/jehane_noujaim_inspires_a_global_day_of_film
",387877,11
71,"Accepting the 2006 TED Prize, Dr. Larry Brilliant talks about how smallpox was eradicated from the planet, and calls for a new global system that can identify and contain pandemics before they spread.",1550,TED2006,23-02-2006,24,Larry Brilliant,Larry Brilliant: My wish: Help me stop pandemics,1,25-07-2006,"Epidemiologist, philanthropist",My wish: Help me stop pandemics,"https://www.ted.com/talks/larry_brilliant_wants_to_stop_pandemics
",693341,12
242,"Jeff Han shows off a cheap, scalable multi-touch and pressure-sensitive computer screen interface that may spell the end of point-and-click.",527,TED2006,06-02-2006,27,Jeff Han,Jeff Han: The radical promise of the multi-touch interface,1,01-08-2006,Human-computer interface designer,The radical promise of the multi-touch interface,"https://www.ted.com/talks/jeff_han_demos_his_breakthrough_touchscreen
",4531020,13
99,"Nicholas Negroponte, founder of the MIT Media Laboratory, describes how the One Laptop Per Child project will build and distribute the ""$100 laptop.""",1057,TED2006,23-02-2006,25,Nicholas Negroponte,Nicholas Negroponte: One Laptop per Child,1,01-08-2006,Tech visionary,One Laptop per Child,"https://www.ted.com/talks/nicholas_negroponte_on_one_laptop_per_child
",358304,14
325,"Violinist Sirena Huang gives a technically brilliant and emotionally nuanced performance. In a charming interlude, the 11-year-old praises the timeless design of her instrument.",1481,TED2006,23-02-2006,31,Sirena Huang,Sirena Huang: An 11-year-old's magical violin,1,08-08-2006,Violinist,An 11-year-old's magical violin,"https://www.ted.com/talks/sirena_huang_dazzles_on_violin
",2702470,15
305,"Pianist and composer Jennifer Lin gives a magical performance, talks about the process of creativity and improvises a moving solo piece based on a random sequence of notes.",1445,TED2004,26-02-2004,32,Jennifer Lin,"Jennifer Lin: Improvising on piano, aged 14",1,08-08-2006,"Pianist, composer","Improvising on piano, aged 14","https://www.ted.com/talks/jennifer_lin_improvs_piano_magic
",1628912,16
88,Fumes from indoor cooking fires kill more than 2 million children a year in the developing world. MIT engineer Amy Smith details an exciting but simple solution: a tool for turning farm waste into clean-burning charcoal.,906,TED2006,24-02-2006,27,Amy Smith,Amy Smith: Simple designs to save a life,1,15-08-2006,"inventor, engineer",Simple designs to save a life,"https://www.ted.com/talks/amy_smith_shares_simple_lifesaving_design
",1415724,17
163,"Designer Ross Lovegrove expounds his philosophy of ""fat-free"" design and offers insight into several of his extraordinary products, including the Ty Nant water bottle and the Go chair.",1170,TED2005,25-02-2005,22,Ross Lovegrove,"Ross Lovegrove: Organic design, inspired by nature",1,15-08-2006,Industrial designer,"Organic design, inspired by nature","https://www.ted.com/talks/ross_lovegrove_shares_organic_designs
",1074081,18
84,"Jimmy Wales recalls how he assembled ""a ragtag band of volunteers,"" gave them tools for collaborating and created Wikipedia, the self-organizing, self-correcting, never-finished online encyclopedia.",1201,TEDGlobal 2005,14-07-2005,32,Jimmy Wales,Jimmy Wales: The birth of Wikipedia,1,21-08-2006,Founder of Wikipedia,The birth of Wikipedia,"https://www.ted.com/talks/jimmy_wales_on_the_birth_of_wikipedia
",1106561,19
108,"In 2006, open-learning visionary Richard Baraniuk explains the vision behind Connexions (now called OpenStax), an open-source, online education system. It cuts out the textbook, allowing teachers to share and modify course materials freely, anywhere in the world.",1114,TED2006,23-02-2006,27,Richard Baraniuk,Richard Baraniuk: The birth of the open-source learning revolution,1,21-08-2006,Education visionary,The birth of the open-source learning revolution,"https://www.ted.com/talks/richard_baraniuk_on_open_source_learning
",966439,20
185,"Performer and web toymaker Ze Frank delivers a hilarious nerdcore standup routine, then tells us what he's seriously passionate about: helping people create and interact using simple, addictive web tools.",1136,TED2004,24-02-2004,26,Ze Frank,Ze Frank: Nerdcore comedy,1,25-08-2006,"Humorist, web artist",Nerdcore comedy,"https://www.ted.com/talks/ze_frank_s_nerdcore_comedy
",6141440,21
